,train,val,test
0,748849_7306 20 - 3,627427_5278 20_2 - 2020-07-25 19.08.45,C3N-00843-22
1,C3L-06162-21,524564_8797 20_3,C3L-03641-23
2,C3N-02334-21,551466_8618 20 - 2020-12-11.03,524564_8797 20_9
3,607460_936_20_5,C3N-00171-21,703664_8415 20_2 - 2020-12-11.57
4,741541_9375 20,C3L-02630-24,C3L-00567-22
5,C3L-04492-25,TCGA-3B-A9HL-01Z-00-DX1.E7B32155-5633-4623-A8F9-D51F0EB4E8EA,607460_936_20_4
6,C3L-04492-23,TCGA-DX-A1L2-01Z-00-DX1.CEAD4A86-AFFE-4A9B-A7B8-07791459091B,TCGA-3B-A9HJ-01Z-00-DX1.69A75A26-AE30-45BC-AD0E-35CEB9377DD0
7,C3N-00843-23,TCGA-DX-A3LS-01Z-00-DX1.32E89F90-9C89-4EBE-9AD3-DF1D2457F6C8,TCGA-DX-A6BH-01Z-00-DX2.8BF0E385-0450-4D17-B5EC-EE499DA5499C
8,667098_8551 20,TCGA-DX-AB35-01Z-00-DX1.7EC65E28-9582-463F-AD56-985E0826E2CE,745521_3960_20_1
9,C3L-00567-23,TCGA-SG-A6Z7-01Z-00-DX1.1C500200-81CA-46DB-8D97-EC94247B8D83,TCGA-WK-A8XO-01Z-00-DX2.1B458FAA-9937-4A15-A3E0-4237B75DA1A0
10,380574_1357_20_4,748804_6555 20,732812_LP_3_587 20_14 
11,607460_936_20_7,4567206215_1290_20_2,C3L-05023-22
12,C3L-03641-22,TCGA-DX-AB2F-01Z-00-DX3.E6CC5C3A-C439-48F9-AC5F-F18469220D57,C3L-05023-23
13,C3L-04492-22,C3L-05507-28,745521_3960_20_8
14,380574_1357_20_8,TCGA-DX-AB2F-01Z-00-DX2.860CF225-64CE-42E2-A6FF-E405E44D0439,TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E
15,607460_936_20_2,745521_3960_20_12,TCGA-DX-A1L3-01Z-00-DX1.E8818734-E8DA-40F7-9E14-5806D4691E96
16,C3L-04492-21,,TCGA-DX-A6BE-01Z-00-DX2.A799F2A2-3BB8-4CD2-9150-43B6B35474E4
17,C3N-00171-24,,TCGA-DX-A1L1-01Z-00-DX1.AF505C16-DC64-4346-A1DF-595A43848832
18,C3L-05505-22,,742405_1629 20_3
19,C3N-03489-21,,TCGA-WK-A8XO-01Z-00-DX3.6E73564F-9C51-462F-98B9-5F9693AB783E
20,380574_1357_20_5,,
21,C3L-06162-27,,
22,C3N-00843-21,,
23,C3N-00171-23,,
24,607460_936_20_1,,
25,C3L-02630-23,,
26,C3N-02334-22,,
27,C3L-06162-22,,
28,C3L-06162-24,,
29,C3L-00564-21,,
30,380574_1357_20_2,,
31,380574_1357_20_1,,
32,750803_8445 20,,
33,C3L-05505-21,,
34,C3L-01914-21,,
35,C3L-00564-22,,
36,C3L-02630-25,,
37,C3N-02064-23,,
38,607460_936_20_6,,
39,C3L-04492-24,,
40,703664_8415 20 - 2020-12-11.52,,
41,380574_1357_20_3,,
42,C3L-01883-22,,
43,C3N-03489-23,,
44,C3N-01534-21,,
45,380574_1357_20_6,,
46,C3N-02334-23,,
47,C3N-03489-22,,
48,C3L-03641-21,,
49,C3N-03214-22,,
50,C3N-01534-23,,
51,C3L-01883-23,,
52,C3N-02064-21,,
53,C3N-01534-22,,
54,380574_1357_20_16,,
55,380574_1357_20_11,,
56,380574_1357_20_17,,
57,C3L-02630-21,,
58,C3L-02852-21,,
59,607460_936_20_3,,
60,C3L-00564-23,,
61,380574_1357_20_15,,
62,373805_6069 20 - 2020-07-25 19.00.12,,
63,C3N-00171-22,,
64,C3N-02064-22,,
65,380574_1357_20_14,,
66,C3L-06162-23,,
67,C3L-02851-21,,
68,C3L-03166-21,,
69,736259_0604 20_LP_1_14 ,,
70,627427_5278 20 - 2020-07-25 19.05.08,,
71,C3L-02630-22,,
72,380574_1357_20_7,,
73,C3L-00567-21,,
74,C3L-01914-22,,
75,C3L-01883-21,,
76,C3N-03214-21,,
77,746726_6799 20 ,,
78,TCGA-DX-A7ES-01Z-00-DX2.9032C642-D318-433A-8846-B13596413B59,,
79,TCGA-3B-A9HI-01Z-00-DX1.FF553011-934A-4E3E-AA53-B87FC307E095,,
80,TCGA-DX-A240-01Z-00-DX1.84CA11FF-F82D-4D71-8C29-33DB35CCB680,,
81,732812_LP_3_587 20_6 ,,
82,745521_3960_20_5,,
83,TCGA-Z4-A9VC-01Z-00-DX1.42D1CACE-2FFB-4CE4-B8D6-8C0D5BC3B3F2,,
84,742405_1629 20_15,,
85,745521_3960_20_11,,
86,TCGA-DX-AB36-01Z-00-DX2.B0293A74-52AC-490B-A5F0-CA96F4B36252,,
87,TCGA-DX-A6BK-01Z-00-DX2.561B10AB-522B-4B2F-BE4B-21AB7A08E7E8,,
88,TCGA-WK-A8XQ-01Z-00-DX2.64263F00-71B0-4099-BF60-DFB5391E05EA,,
89,737695_588 20_4,,
90,TCGA-DX-A7EI-01Z-00-DX1.75E3E0DF-9291-4830-A926-EB1EA7327916,,
91,4567206215_1290_20_3,,
92,TCGA-DX-AB2F-01Z-00-DX1.2F9C07B1-77D6-466B-B09E-5FCD01458777,,
93,TCGA-DX-AB3A-01Z-00-DX2.27E3160A-4CA5-4E3B-AF99-157013591E12,,
94,TCGA-DX-A2J1-01Z-00-DX1.51522171-EBCA-4A16-8F39-E794211F8B94,,
95,TCGA-DX-AB37-01Z-00-DX3.AE53E163-C3F2-4BF1-8A2E-232842C590F1,,
96,746726_6799 20 - 2020-07-29 23.11.03,,
97,748804_6555 20 -2,,
98,TCGA-DX-AB35-01Z-00-DX3.B35C6035-4ED2-4E2F-A915-C59E1ACDE65D,,
99,TCGA-IF-A3RQ-01Z-00-DX1.674A974D-E775-48C1-B4F1-4671C4D1EF33,,
100,TCGA-DX-A3LT-01Z-00-DX1.D4A948E5-6BDC-458B-BB69-ABE5742F148D,,
101,TCGA-DX-AB35-01Z-00-DX2.2B402924-E169-4EB3-AF9F-4A6843547192,,
102,TCGA-DX-AB37-01Z-00-DX1.B778136D-9699-48FA-91F2-16BD16569571,,
103,TCGA-FX-A3NK-01Z-00-DX1.66390C76-EBAB-4904-8BA7-A0E66228B8A5,,
104,TCGA-DX-A6BH-01Z-00-DX1.354D106A-0029-40F6-B11E-1BBD0389A525,,
105,TCGA-DX-A7EI-01Z-00-DX3.D0068AA2-E10C-4C92-8836-F84F395AD744,,
106,TCGA-DX-A2J0-01Z-00-DX1.D967A85F-4E39-4D18-A548-0767A7A761CE,,
107,751380_7495 20,,
108,732812_LP_3_587 20_12 ,,
109,737695_588 20_6,,
110,TCGA-DX-AB36-01Z-00-DX1.83E57948-B439-45B6-ACBF-1CBBCF79EE88,,
111,TCGA-DX-A7EI-01Z-00-DX2.7CAF2DEA-34A2-4841-94BE-C4B814D479CD,,
112,742405_1629_20_1,,
113,TCGA-DX-A6BE-01Z-00-DX1.67FF80A5-340F-4709-8976-A2A1FCF16BA9,,
114,TCGA-DX-A23Z-01Z-00-DX1.BA0DD1F3-2339-499D-B686-5531CA73E462,,
115,742405_1629 20_14,,
116,TCGA-DX-AB2G-01Z-00-DX3.F55EEE13-A4AA-4E04-9F7F-09922ABEECF1,,
117,737695_588 20_1,,
118,742405_1629 20_12,,
119,745521_3960_20_4,,
120,732812_LP_3_587 20_1 ,,
121,TCGA-QQ-A5VA-01Z-00-DX1.64E25D9A-BB2A-44DA-9C58-08E1FCA8F29F,,
122,737695_588 20_3,,
123,732812_LP_3_587 20_13 ,,
124,745521_3960_20_6,,
125,TCGA-DX-A3M2-01Z-00-DX1.B2806534-80E2-488B-852D-F87D8F6B0997,,
126,732812_LP_3_587 20_5 ,,
127,TCGA-DX-AB37-01Z-00-DX2.47D61CC1-F1E9-4423-9F64-6BAE8EC6735A,,
128,TCGA-WK-A8XQ-01Z-00-DX4.30293A97-47CC-4EB2-AFDE-458E7FE19759,,
129,737695_588 20,,
130,TCGA-DX-A6BF-01Z-00-DX1.65A5BFB0-4D3A-466E-9E7C-B8E4C1E02FF5,,
131,TCGA-DX-A1KX-01Z-00-DX1.334B2EEA-33C8-40A5-A19F-61D0087C978E,,
132,TCGA-DX-AB2H-01Z-00-DX1.F595B9EE-062B-41CA-B96C-58E8F11963AF,,
133,713276_6132 20 - 2020-07-25 18.05.29,,
134,TCGA-DX-A23R-01Z-00-DX1.4019729D-79B3-4B0E-8C5B-02938F5C61D2,,
135,742405_1629 20_11,,
136,TCGA-DX-A1KZ-01Z-00-DX1.0F3D83DA-B9C9-4F6F-884B-FF2C949FB0F2,,
137,TCGA-DX-A1KW-01Z-00-DX1.D3379503-58B8-4D5D-84DD-C1FF5418165E,,
138,TCGA-WK-A8XQ-01Z-00-DX1.9567D1AA-A6BE-4642-9E4A-FA10F5CE189B,,
139,732812_LP_3_587 20_7 ,,
140,TCGA-DX-A2IZ-01Z-00-DX1.21447C40-8521-4E40-90C6-D1A937B64190,,
141,732812_LP_3_587 20_10 ,,
142,732812_LP_3_587 20_2 ,,
143,TCGA-DX-A6BK-01Z-00-DX1.2667714B-C1C9-4204-B04A-98861834E65E,,
144,TCGA-DX-A48N-01Z-00-DX1.BFC9AF5D-3E7E-431E-B6CC-99F98FB4873A,,
145,TCGA-DX-A3M1-01Z-00-DX1.89418A40-925B-49FA-8A6D-C67DF76DBD6F,,
146,TCGA-DX-A1KU-01Z-00-DX1.3A094B6B-CF4D-4012-841A-3B888E09327D,,
147,TCGA-DX-A23Y-01Z-00-DX1.1D3F8195-645A-49D4-9044-4261FEFD7EF0,,
148,TCGA-DX-A3LU-01Z-00-DX1.DFE76532-13E0-4359-BFFD-D3846A326254,,
149,TCGA-DX-AB2H-01Z-00-DX4.D7CB742A-A0B8-4454-A291-85F8D9A8C21E,,
150,TCGA-DX-A23T-01Z-00-DX1.AEFA32EC-6E45-471F-A0F9-D891F1B25A22,,
151,TCGA-DX-A3U5-01Z-00-DX1.E786E6CE-C1C4-4F79-8304-C59BC9ADD0AD,,
152,745521_3960_20_2,,
153,TCGA-3B-A9HO-01Z-00-DX1.92599E15-92BB-4C57-80AB-B5820DE98B7B,,
154,TCGA-WK-A8XQ-01Z-00-DX3.224831F2-0BF9-4055-B5FA-D08B88B29962,,
155,742405_1629 20_16,,
156,C3L-05023-24,,
157,742405_1629 20_9,,
158,559279_6998 20 - 2020-08-04 18.55.08,,
159,742405_1629 20_6,,
160,732812_LP_3_587 20_9 ,,
161,TCGA-DX-A23U-01Z-00-DX1.39EF5662-E7E5-4D5C-BB70-9AA00B762AC5,,
162,742405_1629 20_7,,
163,732812_LP_3_587 20_11 ,,
164,732812_LP_3_587 20_4 ,,
165,TCGA-3R-A8YX-01Z-00-DX1.C340AFDA-E53B-4EA5-BA65-2F2F6AAA3B21,,
166,748804_6555 20_3,,
167,C3L-05852-21,,
168,TCGA-DX-AB2H-01Z-00-DX3.EFF4CE5A-FE1D-4ADE-8EA1-17618C0C8519,,
169,742405_1629 20_18,,
170,742405_1629 20_5,,
171,732812_LP_3_587 20_8 ,,
172,TCGA-WK-A8XO-01Z-00-DX1.B5C49FBF-EEF4-40E2-8C7C-4794E6846B65,,
173,742405_1629 20_4,,
174,745521_3960_20_7,,
175,TCGA-DX-A6BF-01Z-00-DX2.D5380C86-471E-41CE-B61E-5117794EBCD6,,
176,732812_LP_3_587 20_3 ,,
177,TCGA-DX-AB2G-01Z-00-DX1.3AB46986-3D64-4395-85CB-CFFDA2024D9A,,
178,TCGA-DX-A6BG-01Z-00-DX1.64FE42B8-DE0D-4C50-817B-1F0FB159CD2F,,
179,750818_8722 20 ,,
180,TCGA-DX-AB3A-01Z-00-DX1.1AD7742A-DFB9-4898-8598-2A99B03C4A7A,,
181,4567206215_1290_20_1,,
182,TCGA-WK-A8XO-01Z-00-DX5.45E4CD45-C8B2-4686-861C-5E7264FBA983,,
183,TCGA-FX-A2QS-01Z-00-DX1.1C5D6E33-BDFD-48A1-9552-0013393F2EAC,,
184,TCGA-DX-A1KY-01Z-00-DX1.0523F0DD-BDCB-479B-836E-CCAB52D051F0,,
185,TCGA-WK-A8XQ-01Z-00-DX5.8854940D-4B20-4241-B9FD-4F7D1C109D8F,,
186,742405_1629 20_10,,
187,TCGA-DX-AB2G-01Z-00-DX2.163DEDDF-91EC-43F3-AD0A-BD4F585FAB7A,,
188,4567206215_1290_20_4,,
189,TCGA-DX-A1L0-01Z-00-DX1.4FA1C23F-8118-4BE4-842A-C7B0C57C9876,,
190,742405_1629 20_8,,
191,742405_1629 20_2,,
192,TCGA-DX-A7EI-01Z-00-DX4.7AD7DC7F-0192-407B-B94D-83E398E88AF9,,
193,745521_3960_20_9,,
194,737695_588 20_8,,
195,TCGA-DX-A7ES-01Z-00-DX1.8218255F-C439-41CB-B25B-F177D19BAF28,,
196,TCGA-DX-A3LY-01Z-00-DX1.9F133C2C-AFFA-4A13-AA2B-BB4824FFAD61,,
197,737695_588 20_5,,
198,TCGA-DX-A3U6-01Z-00-DX1.ACF0D3DB-CB03-463D-B3BB-3F513A9E60C6,,
199,C3L-05023-25,,
200,TCGA-DX-A1L4-01Z-00-DX1.771F338F-94D2-432F-A35D-6B72852BC245,,
201,737695_588 20_9,,
202,742405_1629 20_13,,
203,TCGA-DX-A3LW-01Z-00-DX1.0C50FA3C-7A1E-4D34-BC48-B134C6220356,,
204,741797_4182 20 - 2020-12-01.12,,
205,745521_3960_20_3,,
206,TCGA-DX-AB2H-01Z-00-DX2.6A7675DD-2EC1-4E07-ADB8-05F98E32658D,,
207,745521_3960_20_10,,
208,C3L-05023-26,,
